,precision,recall,f1-score,support
CAPITAL_VS_LABOR,0.36 ± 0.03,0.25 ± 0.00,0.29 ± 0.01,8.00 ± 0.00
COMPETITION/BUSINESS_CHALLENGES,0.48 ± 0.03,0.43 ± 0.00,0.45 ± 0.02,21.00 ± 0.00
ECONOMIC_IMPACT,0.27 ± 0.01,1.00 ± 0.00,0.42 ± 0.02,12.00 ± 0.00
GOVERNMENT,0.71 ± 0.06,0.80 ± 0.00,0.75 ± 0.03,10.00 ± 0.00
LOW-SKILLED,0.68 ± 0.03,0.83 ± 0.09,0.74 ± 0.02,14.00 ± 0.00
MOTIVATION/CHANCES,0.76 ± 0.03,0.42 ± 0.02,0.54 ± 0.02,20.00 ± 0.00
PRICES,0.92 ± 0.02,0.85 ± 0.04,0.89 ± 0.03,32.00 ± 0.00
SOCIAL_JUSTICE/INJUSTICE,0.85 ± 0.02,0.62 ± 0.03,0.71 ± 0.02,59.00 ± 0.00
TURNOVER,0.90 ± 0.13,1.00 ± 0.00,0.94 ± 0.08,5.00 ± 0.00
UN/EMPLOYMENT_RATE,0.88 ± 0.05,0.49 ± 0.02,0.63 ± 0.01,49.00 ± 0.00
WELFARE,0.54 ± 0.06,0.83 ± 0.00,0.65 ± 0.04,6.00 ± 0.00
YOUTH_AND_SECONDARY_WAGE_EARNERS,0.57 ± 0.05,0.87 ± 0.09,0.68 ± 0.06,5.00 ± 0.00
micro avg,0.66 ± 0.01,0.63 ± 0.01,0.65 ± 0.01,241.00 ± 0.00
macro avg,0.66 ± 0.03,0.70 ± 0.00,0.64 ± 0.01,241.00 ± 0.00
weighted avg,0.75 ± 0.02,0.63 ± 0.01,0.66 ± 0.00,241.00 ± 0.00
samples avg,0.69 ± 0.01,0.67 ± 0.01,0.66 ± 0.01,241.00 ± 0.00
