response,model,created_at,done_reason,total_duration,load_duration,prompt_eval_count,prompt_eval_duration,eval_count,eval_duration,input_text,gold_label,label_count,mentioned_labels
"The correct label is ACCIDENTS/SECURITY 


Let me know if you have any more text you'd like me to code! I'm ready for the challenge.",gemma2:27b,2024-09-12T20:42:59.463665805Z,stop,1117016319,54455722,684,79882000,36,937514000,"The ongoing and deepening nuclear calamity in Fukushima and Japan ’s abiding commitment to nuclear power , including the ability to reprocess spent nuclear fuel and generate plutonium , is therefore an outgrowth of imperial power plays at the end of the Second World War .","['ENERGY_POLICY', 'ACCIDENTS/SECURITY']",1,['ACCIDENTS/SECURITY']
"The correct labels are WEAPONS, TECHNOLOGICAL_INNOVATION 


Let me know if you'd like to try another example!",gemma2:27b,2024-09-12T20:43:00.529299492Z,stop,1016661746,57159213,678,78205000,29,748822000,"In practice , there is no way to segregate nuclear technologies employed for “ peaceful ” purposes from technologies that may be employed in weapons — the former may be , and have been , transformed into the latter . """,['WEAPONS'],2,"['TECHNOLOGICAL_INNOVATION', 'WEAPONS']"
"The correct labels are HEALTH_EFFECTS,  PUBLIC_DEBATE 


Let me know if you'd like me to analyze any more text! 
",gemma2:27b,2024-09-12T20:43:01.627386453Z,stop,1046496034,55378907,664,63253000,34,884648000,Read CND 's summary of the German government-commissioned research that shows increases in cancer in children under five living near nuclear power stations .,['HEALTH_EFFECTS'],2,"['PUBLIC_DEBATE', 'HEALTH_EFFECTS']"
"The correct label is COSTS 
",gemma2:27b,2024-09-12T20:43:02.113340179Z,stop,393446564,55909470,664,62813000,8,187355000,"Swiss utility BKW AG already plans to shutter Muehleberg in 2019 , citing the high costs of maintenance and operations .",['COSTS'],1,['COSTS']
"The correct label is WEAPONS 
",gemma2:27b,2024-09-12T20:43:02.58243052Z,stop,418541200,53987951,678,78492000,10,240602000,"Today , the nuclear stockpile of the United States , which stands at over 7,000 warheads — some of which are still kept in permanent readiness — could alone destroy planetary life several times over .",['WEAPONS'],1,['WEAPONS']
"The correct labels are HEALTH_EFFECTS  and FOSSIL_FUELS 
",gemma2:27b,2024-09-12T20:43:03.272575805Z,stop,640601328,57049818,653,56445000,19,480186000,"Moreover , one in five uranium miners in the Southwest has contracted some form of cancer .",['HEALTH_EFFECTS'],2,"['FOSSIL_FUELS', 'HEALTH_EFFECTS']"
"The correct labels are: 

**RELIABILITY** (due to the discussion of uranium supply lasting)

**FOSSIL_FUELS** (mentioning uranium as a replacement for fossil fuels) 


Let me know if you have any more sentences to code! I'm ready.",gemma2:27b,2024-09-12T20:43:05.220581737Z,stop,1856802143,56793004,685,80226000,62,1633118000,"The amount of Uranium on the earth is n’t NEARLY enough to sustain us for long enough to relieve the need of fossil fuels , we ’re talking no more than 80 years for the remaining Uranium to be mined and used .","['RELIABILITY', 'FOSSIL_FUELS']",2,"['RELIABILITY', 'FOSSIL_FUELS']"
"The correct label is WEAPONS 
",gemma2:27b,2024-09-12T20:43:05.674901608Z,stop,444886049,60015407,656,55415000,10,239768000,"All traded uranium is sold for electricity production only , and two layers of international safeguards arrangements confirm this .",['WEAPONS'],1,['WEAPONS']
"The correct label is ACCIDENTS/SECURITY 
",gemma2:27b,2024-09-12T20:43:06.17076435Z,stop,447088066,53579861,689,79561000,11,267340000,"The Diablo Canyon plant , located 200 miles northwest of Los Angeles near Santa Barbara , was built in 1968 near two fault lines , one three miles off the coast that suffered a 7.1 earthquake in 1926 .",['ACCIDENTS/SECURITY'],1,['ACCIDENTS/SECURITY']
"The correct label is ACCIDENTS/SECURITY 
",gemma2:27b,2024-09-12T20:43:06.635764366Z,stop,414729332,55940101,651,48886000,11,267495000,"Since then , it has proven itself as one of our safest energy technologies .",['ACCIDENTS/SECURITY'],1,['ACCIDENTS/SECURITY']
