response,model,created_at,done_reason,total_duration,load_duration,prompt_eval_count,prompt_eval_duration,eval_count,eval_duration,input_text,gold_label,label_count,mentioned_labels
"The correct labels are ACCIDENTS/SECURITY and WEAPONS 


Let me know if you'd like me to code any more sentences! I'm ready when you are.  
",gemma2:27b,2024-09-12T20:37:41.764762472Z,stop,1708446511,54741090,684,563513000,40,1045840000,"The ongoing and deepening nuclear calamity in Fukushima and Japan ’s abiding commitment to nuclear power , including the ability to reprocess spent nuclear fuel and generate plutonium , is therefore an outgrowth of imperial power plays at the end of the Second World War .","['ENERGY_POLICY', 'ACCIDENTS/SECURITY']",2,"['WEAPONS', 'ACCIDENTS/SECURITY']"
"The correct labels are WEAPONS 
",gemma2:27b,2024-09-12T20:37:42.319768177Z,stop,464639887,55426047,678,79372000,10,241218000,"In practice , there is no way to segregate nuclear technologies employed for “ peaceful ” purposes from technologies that may be employed in weapons — the former may be , and have been , transformed into the latter . """,['WEAPONS'],1,['WEAPONS']
"The correct label is HEALTH_EFFECTS 

Let me explain why. The input focuses on a study linking increased childhood cancer rates to proximity to nuclear power stations. This directly relates to the potential health effects of nuclear energy. 


",gemma2:27b,2024-09-12T20:37:43.815009557Z,stop,1447093700,77667490,664,61978000,48,1260232000,Read CND 's summary of the German government-commissioned research that shows increases in cancer in children under five living near nuclear power stations .,['HEALTH_EFFECTS'],1,['HEALTH_EFFECTS']
"The correct label is COSTS 
",gemma2:27b,2024-09-12T20:37:44.30243549Z,stop,394516411,55491960,664,63791000,8,187488000,"Swiss utility BKW AG already plans to shutter Muehleberg in 2019 , citing the high costs of maintenance and operations .",['COSTS'],1,['COSTS']
"The correct label is WEAPONS 
",gemma2:27b,2024-09-12T20:37:44.776679985Z,stop,424773011,64305837,678,76578000,10,240762000,"Today , the nuclear stockpile of the United States , which stands at over 7,000 warheads — some of which are still kept in permanent readiness — could alone destroy planetary life several times over .",['WEAPONS'],1,['WEAPONS']
"The correct label is HEALTH_EFFECTS 
",gemma2:27b,2024-09-12T20:37:45.255161928Z,stop,427446239,59518423,653,56485000,11,267382000,"Moreover , one in five uranium miners in the Southwest has contracted some form of cancer .",['HEALTH_EFFECTS'],1,['HEALTH_EFFECTS']
"The correct labels are RELIABILITY, FOSSIL_FUELS  
",gemma2:27b,2024-09-12T20:37:45.913534734Z,stop,609921789,55624984,685,80444000,17,429687000,"The amount of Uranium on the earth is n’t NEARLY enough to sustain us for long enough to relieve the need of fossil fuels , we ’re talking no more than 80 years for the remaining Uranium to be mined and used .","['RELIABILITY', 'FOSSIL_FUELS']",2,"['RELIABILITY', 'FOSSIL_FUELS']"
"The correct labels are  WEAPONS, ENERGY_POLICY 
",gemma2:27b,2024-09-12T20:37:46.494569248Z,stop,530793680,56450545,656,56992000,15,374237000,"All traded uranium is sold for electricity production only , and two layers of international safeguards arrangements confirm this .",['WEAPONS'],2,"['WEAPONS', 'ENERGY_POLICY']"
"The correct label is ACCIDENTS/SECURITY 
",gemma2:27b,2024-09-12T20:37:47.080186412Z,stop,491719925,55755387,689,81612000,11,267294000,"The Diablo Canyon plant , located 200 miles northwest of Los Angeles near Santa Barbara , was built in 1968 near two fault lines , one three miles off the coast that suffered a 7.1 earthquake in 1926 .",['ACCIDENTS/SECURITY'],1,['ACCIDENTS/SECURITY']
"The correct label is ACCIDENTS/SECURITY 
",gemma2:27b,2024-09-12T20:37:47.551294025Z,stop,418976440,55875038,651,51783000,11,268179000,"Since then , it has proven itself as one of our safest energy technologies .",['ACCIDENTS/SECURITY'],1,['ACCIDENTS/SECURITY']
"The correct labels are WASTE 


Let me know if you'd like me to analyze any more sentences!  
",gemma2:27b,2024-09-12T20:37:48.400761984Z,stop,801010431,57053099,664,60342000,25,641175000,"Second , spent Uranium has to be disposed of and dealt with at one point even if it is reprocessed and the radioactivity of it remains .",['WASTE'],1,['WASTE']
"The correct labels are ACCIDENTS/SECURITY and WASTE 


",gemma2:27b,2024-09-12T20:37:48.94691216Z,stop,499023893,54457062,684,78678000,13,320968000,"( This means that either no one will be responsible for physical , environmental , or health damages in the case of an accident or leakage over time from waste storage , or that the government will ultimately have to cover the cost of any damages . )","['HEALTH_EFFECTS', 'ACCIDENTS/SECURITY', 'ENVIRONMENTAL_IMPACT', 'WASTE', 'ENERGY_POLICY']",2,"['WASTE', 'ACCIDENTS/SECURITY']"
"The correct labels are ENVIRONMENTAL_IMPACT,ACCIDENTS/SECURITY  
",gemma2:27b,2024-09-12T20:37:49.537082029Z,stop,541268441,55227143,674,65876000,15,375921000,"In November 2000 the world recognised nuclear power as a dirty , dangerous and unnecessary technology by refusing to give it greenhouse gas credits during the UN Climate Change talks in The Hague .","['ENVIRONMENTAL_IMPACT', 'ACCIDENTS/SECURITY']",2,"['ENVIRONMENTAL_IMPACT', 'ACCIDENTS/SECURITY']"
"The correct label is COSTS 
",gemma2:27b,2024-09-12T20:37:50.014309161Z,stop,382431300,54444612,645,50787000,8,188370000,Some argue against its economic viability as well .,['COSTS'],1,['COSTS']
"The correct label is COSTS 
",gemma2:27b,2024-09-12T20:37:50.427001799Z,stop,363560083,78180122,650,49967000,8,188705000,The Jervis Bay plan eventually was dropped mainly due to economic considerations .,['COSTS'],1,['COSTS']
"The correct label is ENERGY_POLICY 


",gemma2:27b,2024-09-12T20:37:50.867299299Z,stop,391525614,53985031,645,50658000,10,241154000,Energy efficiency is more important than nuclear power .,['RELIABILITY'],1,['ENERGY_POLICY']
"The correct label is COSTS 
",gemma2:27b,2024-09-12T20:37:51.257103038Z,stop,340970391,57312155,650,48525000,8,188657000,"When the utilities default on these loans , taxpayers will foot the bill .",['ENERGY_POLICY'],1,['COSTS']
"The correct label is COSTS 
",gemma2:27b,2024-09-12T20:37:51.651157637Z,stop,342587783,57889551,658,53343000,8,186512000,"Even if the cost of uranium goes up , the impact on the cost of power will be that much lower .",['COSTS'],1,['COSTS']
"The correct label is RELIABILITY 
",gemma2:27b,2024-09-12T20:37:52.092014292Z,stop,392209312,53346575,655,52012000,10,239896000,Nuclear power plants can adjust their output as needed verses the intermittent wind or solar generated electric power .,"['RELIABILITY', 'RENEWABLES']",1,['RELIABILITY']
"The correct labels are TECHNOLOGICAL_INNOVATION, WASTE 
",gemma2:27b,2024-09-12T20:37:52.646278607Z,stop,501751563,55150390,654,55520000,14,347478000,The local fuel processing of the breeder and burner configurations eliminates the possibility of diversion during transport .,['WEAPONS'],2,"['TECHNOLOGICAL_INNOVATION', 'WASTE']"
"The correct labels are ACCIDENTS/SECURITY, PUBLIC_DEBATE 
",gemma2:27b,2024-09-12T20:37:53.37326581Z,stop,633460605,55640754,696,87899000,16,402226000,Possibly the largest hurdle of all is the fact that some wealthy and powerful interest groups have invested a great deal of time and money into building the myth that there is “ no safe dose ” of radiation because they know that the truth will enable nuclear energy to flourish at their expense in the energy supply market .,['HEALTH_EFFECTS'],2,"['PUBLIC_DEBATE', 'ACCIDENTS/SECURITY']"
"The correct label is HEALTH_EFFECTS 
",gemma2:27b,2024-09-12T20:37:53.854780561Z,stop,473390211,64455829,654,52741000,11,266252000,The radiation from a reactor is tiny : about as much as that from our own bodies .,['HEALTH_EFFECTS'],1,['HEALTH_EFFECTS']
"The correct label is ACCIDENTS/SECURITY 
",gemma2:27b,2024-09-12T20:37:54.330757831Z,stop,426718551,60283033,654,56419000,11,266964000,"However , serious safety problems continue to arise because the NRC does not adequately enforce those standards .",['ACCIDENTS/SECURITY'],1,['ACCIDENTS/SECURITY']
"The correct label is ENVIRONMENTAL_IMPACT 


Let me know if you'd like to try another example!",gemma2:27b,2024-09-12T20:37:55.122372148Z,stop,742831901,55507109,656,56290000,23,586516000,"For every 22 tonnes of uranium used , one million tonnes of CO2 emissions is averted .",['ENVIRONMENTAL_IMPACT'],1,['ENVIRONMENTAL_IMPACT']
"The correct label is ACCIDENTS/SECURITY 
",gemma2:27b,2024-09-12T20:37:55.679483368Z,stop,463950210,55925191,656,54507000,11,265861000,"Hundreds of systems monitor , control , and support the safe operation of the reactor at each power plant .",['ACCIDENTS/SECURITY'],1,['ACCIDENTS/SECURITY']
"The correct labels are  FOSSIL_FUELS and ENVIRONMENTAL_IMPACT 


",gemma2:27b,2024-09-12T20:37:56.351427303Z,stop,623104667,55278543,673,67763000,18,456106000,"According to the Nuclear Energy Institute , the power produced by the world 's nuclear plants would normally produce 2 billion metric tons of CO2 per year if they depended on fossil fuels .","['ENVIRONMENTAL_IMPACT', 'FOSSIL_FUELS']",2,"['ENVIRONMENTAL_IMPACT', 'FOSSIL_FUELS']"
"The correct label is ENVIRONMENTAL_IMPACT 
",gemma2:27b,2024-09-12T20:37:56.890545589Z,stop,447122416,53426426,675,64337000,10,240015000,"You can not prevent CO2 emission altogether and as long as a MSR run as a standard thermal power plant you can not prevent the release of methane , water vapor and CO2 from cooling water .",['ENVIRONMENTAL_IMPACT'],1,['ENVIRONMENTAL_IMPACT']
"The correct label is RELIABILITY 
",gemma2:27b,2024-09-12T20:37:57.33286152Z,stop,393021462,56935437,651,51167000,10,241817000,• It leads to relative large amount of energy that produced per land area .,['RELIABILITY'],1,['RELIABILITY']
"The correct labels are ACCIDENTS/SECURITY and HEALTH_EFFECTS 
",gemma2:27b,2024-09-12T20:37:57.965879944Z,stop,585991553,55580552,698,86216000,16,400449000,"A recent book , Chernobyl : Consequences of the Catastrophe for People and the Environment , concludes that , based on records now available , some 985,000 people died between 1986 and 2004 , mainly of cancer , as a result of the Chernobyl accident .","['HEALTH_EFFECTS', 'ACCIDENTS/SECURITY', 'ENVIRONMENTAL_IMPACT']",2,"['HEALTH_EFFECTS', 'ACCIDENTS/SECURITY']"
"The correct label is **COSTS** 
",gemma2:27b,2024-09-12T20:37:58.439213245Z,stop,423324403,55584261,655,56708000,11,267084000,Lower gasoline prices over the past year are likely driving greater opposition toward the use of nuclear power .,['FOSSIL_FUELS'],1,['COSTS']
"The correct labels are HEALTH_EFFECTS, WASTE 


",gemma2:27b,2024-09-12T20:37:58.969645946Z,stop,482064826,59245556,656,57351000,13,320938000,Nuclear power plants increase the risk of cancer : Every nuclear reactor churns massive amounts of radioactive waste .,"['HEALTH_EFFECTS', 'WASTE']",2,"['WASTE', 'HEALTH_EFFECTS']"
"The correct labels are RELIABILITY and COSTS 
",gemma2:27b,2024-09-12T20:37:59.484064395Z,stop,464183536,58651301,672,66573000,12,294244000,"Just to maintain the current world production of nuclear power , either the oldest , creakiest plants need to be relicensed or a veritable orgy of nuclear construction needs to begin .",['RELIABILITY'],2,"['RELIABILITY', 'COSTS']"
