,precision,recall,f1-score,support
ADDICTION,0.59 ± 0.06,0.81 ± 0.04,0.68 ± 0.05,12.00 ± 0.00
CHILD_AND_TEEN_SAFETY,0.81 ± 0.02,0.73 ± 0.02,0.77 ± 0.01,21.00 ± 0.00
COMMUNITY/SOCIETAL_EFFECTS,0.75 ± 0.09,0.14 ± 0.03,0.23 ± 0.05,39.00 ± 0.00
DRUG_ABUSE,0.44 ± 0.04,0.56 ± 0.08,0.49 ± 0.05,12.00 ± 0.00
DRUG_POLICY,0.46 ± 0.01,0.54 ± 0.02,0.50 ± 0.01,19.00 ± 0.00
GATEWAY_DRUG,0.88 ± 0.04,0.91 ± 0.00,0.90 ± 0.02,11.00 ± 0.00
HARM,0.20 ± 0.01,0.44 ± 0.00,0.28 ± 0.01,18.00 ± 0.00
HEALTH/PSYCHOLOGICAL_EFFECTS,0.63 ± 0.03,0.68 ± 0.04,0.65 ± 0.03,37.00 ± 0.00
ILLEGAL_TRADE,0.62 ± 0.03,0.78 ± 0.03,0.69 ± 0.01,17.00 ± 0.00
LEGAL_DRUGS,0.22 ± 0.04,0.29 ± 0.05,0.25 ± 0.04,17.00 ± 0.00
MEDICAL_MARIJUANA,0.85 ± 0.02,0.81 ± 0.02,0.83 ± 0.02,24.00 ± 0.00
NATIONAL_BUDGET,0.84 ± 0.05,0.75 ± 0.02,0.79 ± 0.03,23.00 ± 0.00
PERSONAL_FREEDOM,0.77 ± 0.05,0.67 ± 0.06,0.71 ± 0.03,8.00 ± 0.00
micro avg,0.57 ± 0.01,0.58 ± 0.01,0.58 ± 0.01,258.00 ± 0.00
macro avg,0.62 ± 0.01,0.62 ± 0.01,0.60 ± 0.01,258.00 ± 0.00
weighted avg,0.64 ± 0.02,0.58 ± 0.01,0.57 ± 0.01,258.00 ± 0.00
samples avg,0.63 ± 0.01,0.63 ± 0.01,0.62 ± 0.01,258.00 ± 0.00
