,precision,recall,f1-score,support
CAPITAL_VS_LABOR,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,8.00 ± 0.00
COMPETITION/BUSINESS_CHALLENGES,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,21.00 ± 0.00
ECONOMIC_IMPACT,0.17 ± 0.24,0.03 ± 0.04,0.05 ± 0.07,12.00 ± 0.00
GOVERNMENT,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,10.00 ± 0.00
LOW-SKILLED,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,14.00 ± 0.00
MOTIVATION/CHANCES,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,20.00 ± 0.00
PRICES,0.88 ± 0.06,0.77 ± 0.01,0.82 ± 0.02,32.00 ± 0.00
SOCIAL_JUSTICE/INJUSTICE,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,59.00 ± 0.00
TURNOVER,0.63 ± 0.06,1.00 ± 0.00,0.77 ± 0.05,5.00 ± 0.00
UN/EMPLOYMENT_RATE,0.83 ± 0.05,0.63 ± 0.02,0.72 ± 0.01,49.00 ± 0.00
WELFARE,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,6.00 ± 0.00
YOUTH_AND_SECONDARY_WAGE_EARNERS,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,5.00 ± 0.00
micro avg,0.81 ± 0.06,0.25 ± 0.00,0.38 ± 0.00,241.00 ± 0.00
macro avg,0.21 ± 0.03,0.20 ± 0.00,0.20 ± 0.01,241.00 ± 0.00
weighted avg,0.31 ± 0.03,0.25 ± 0.00,0.27 ± 0.01,241.00 ± 0.00
samples avg,0.30 ± 0.01,0.26 ± 0.00,0.28 ± 0.01,241.00 ± 0.00
