response,model,created_at,done_reason,total_duration,load_duration,prompt_eval_count,prompt_eval_duration,eval_count,eval_duration,input_text,gold_label,label_count,mentioned_labels
"ACCIDENTS/SECURITY 
PUBLIC_DEBATE
ENERGY_POLICY  
WASTE 
",gemma2:27b,2024-09-11T15:14:20.48172008Z,stop,675338535,64896282,219,71650000,20,493962000,"The ongoing and deepening nuclear calamity in Fukushima and Japan ’s abiding commitment to nuclear power , including the ability to reprocess spent nuclear fuel and generate plutonium , is therefore an outgrowth of imperial power plays at the end of the Second World War .","['ENERGY_POLICY', 'ACCIDENTS/SECURITY']",4,"['ENERGY_POLICY', 'WASTE', 'PUBLIC_DEBATE', 'ACCIDENTS/SECURITY']"
"WEAPONS 
",gemma2:27b,2024-09-11T15:14:20.820304613Z,stop,292471254,55130887,213,62942000,6,130074000,"In practice , there is no way to segregate nuclear technologies employed for “ peaceful ” purposes from technologies that may be employed in weapons — the former may be , and have been , transformed into the latter . """,['WEAPONS'],1,['WEAPONS']
"HEALTH_EFFECTS 
",gemma2:27b,2024-09-11T15:14:21.186214662Z,stop,318725011,60407613,199,58116000,7,156788000,Read CND 's summary of the German government-commissioned research that shows increases in cancer in children under five living near nuclear power stations .,['HEALTH_EFFECTS'],1,['HEALTH_EFFECTS']
"COSTS 
",gemma2:27b,2024-09-11T15:14:21.477672297Z,stop,246043003,40886572,199,57592000,5,105020000,"Swiss utility BKW AG already plans to shutter Muehleberg in 2019 , citing the high costs of maintenance and operations .",['COSTS'],1,['COSTS']
"WEAPONS 
",gemma2:27b,2024-09-11T15:14:21.816204998Z,stop,292605186,54648494,213,62406000,6,130437000,"Today , the nuclear stockpile of the United States , which stands at over 7,000 warheads — some of which are still kept in permanent readiness — could alone destroy planetary life several times over .",['WEAPONS'],1,['WEAPONS']
"HEALTH_EFFECTS 
",gemma2:27b,2024-09-11T15:14:22.170110822Z,stop,307232119,59282986,188,45577000,7,156830000,"Moreover , one in five uranium miners in the Southwest has contracted some form of cancer .",['HEALTH_EFFECTS'],1,['HEALTH_EFFECTS']
"Here's the coding based on the provided text:

* **FOSSIL_FUELS:** The sentence directly compares nuclear energy to fossil fuels as a potential replacement.
* **URANIUM (implicitly):**  While not explicitly stated, the discussion of uranium supply implies the ""ACCIDENTS/SECURITY"" and ""WASTE"" categories. 


Let me know if you have any other sentences you'd like coded! 
",gemma2:27b,2024-09-11T15:14:24.693231237Z,stop,2477567229,60191698,220,73317000,89,2300477000,"The amount of Uranium on the earth is n’t NEARLY enough to sustain us for long enough to relieve the need of fossil fuels , we ’re talking no more than 80 years for the remaining Uranium to be mined and used .","['RELIABILITY', 'FOSSIL_FUELS']",3,"['FOSSIL_FUELS', 'WASTE', 'ACCIDENTS/SECURITY']"
"ENERGY_POLICY 


Let me explain why:

* **ENERGY_POLICY:** The sentence discusses the sale of uranium specifically for electricity production, implying regulations and agreements around its use. This falls under the realm of energy policy.

Let me know if you have more sentences to code! 
",gemma2:27b,2024-09-11T15:14:26.5401586Z,stop,1756467544,54543943,191,52299000,61,1560708000,"All traded uranium is sold for electricity production only , and two layers of international safeguards arrangements confirm this .",['WEAPONS'],1,['ENERGY_POLICY']
"ACCIDENTS/SECURITY 
",gemma2:27b,2024-09-11T15:14:26.919337194Z,stop,332339296,54502050,224,74930000,7,156041000,"The Diablo Canyon plant , located 200 miles northwest of Los Angeles near Santa Barbara , was built in 1968 near two fault lines , one three miles off the coast that suffered a 7.1 earthquake in 1926 .",['ACCIDENTS/SECURITY'],1,['ACCIDENTS/SECURITY']
"ACCIDENTS/SECURITY 
",gemma2:27b,2024-09-11T15:14:27.272876227Z,stop,305397300,55830464,186,47011000,7,158498000,"Since then , it has proven itself as one of our safest energy technologies .",['ACCIDENTS/SECURITY'],1,['ACCIDENTS/SECURITY']
