,precision,recall,f1-score,support
CAPITAL_VS_LABOR,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,8.00 ± 0.00
COMPETITION/BUSINESS_CHALLENGES,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,21.00 ± 0.00
ECONOMIC_IMPACT,0.16 ± 0.01,1.00 ± 0.00,0.28 ± 0.01,12.00 ± 0.00
GOVERNMENT,1.00 ± 0.00,0.20 ± 0.00,0.33 ± 0.00,10.00 ± 0.00
LOW-SKILLED,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,14.00 ± 0.00
MOTIVATION/CHANCES,1.00 ± 0.00,0.42 ± 0.06,0.59 ± 0.06,20.00 ± 0.00
PRICES,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,32.00 ± 0.00
SOCIAL_JUSTICE/INJUSTICE,1.00 ± 0.00,0.02 ± 0.01,0.04 ± 0.02,59.00 ± 0.00
TURNOVER,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,5.00 ± 0.00
UN/EMPLOYMENT_RATE,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,49.00 ± 0.00
WELFARE,0.15 ± 0.03,0.78 ± 0.16,0.25 ± 0.05,6.00 ± 0.00
YOUTH_AND_SECONDARY_WAGE_EARNERS,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,5.00 ± 0.00
micro avg,0.24 ± 0.02,0.12 ± 0.01,0.16 ± 0.01,241.00 ± 0.00
macro avg,0.28 ± 0.00,0.20 ± 0.02,0.12 ± 0.01,241.00 ± 0.00
weighted avg,0.38 ± 0.00,0.12 ± 0.01,0.09 ± 0.01,241.00 ± 0.00
samples avg,0.15 ± 0.01,0.11 ± 0.01,0.12 ± 0.01,241.00 ± 0.00
