,precision,recall,f1-score,support
ADDICTION,1.00 ± 0.00,0.53 ± 0.04,0.69 ± 0.03,12.00 ± 0.00
CHILD_AND_TEEN_SAFETY,0.97 ± 0.04,0.48 ± 0.04,0.64 ± 0.03,21.00 ± 0.00
COMMUNITY/SOCIETAL_EFFECTS,0.89 ± 0.03,0.28 ± 0.02,0.43 ± 0.03,39.00 ± 0.00
DRUG_ABUSE,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,12.00 ± 0.00
DRUG_POLICY,0.40 ± 0.05,0.42 ± 0.09,0.41 ± 0.06,19.00 ± 0.00
GATEWAY_DRUG,0.97 ± 0.05,0.70 ± 0.09,0.80 ± 0.04,11.00 ± 0.00
HARM,0.17 ± 0.24,0.02 ± 0.03,0.03 ± 0.05,18.00 ± 0.00
HEALTH/PSYCHOLOGICAL_EFFECTS,0.71 ± 0.05,0.71 ± 0.03,0.71 ± 0.02,37.00 ± 0.00
ILLEGAL_TRADE,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,17.00 ± 0.00
LEGAL_DRUGS,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,17.00 ± 0.00
MEDICAL_MARIJUANA,0.91 ± 0.07,0.26 ± 0.05,0.41 ± 0.06,24.00 ± 0.00
NATIONAL_BUDGET,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,23.00 ± 0.00
PERSONAL_FREEDOM,0.93 ± 0.09,0.50 ± 0.00,0.65 ± 0.02,8.00 ± 0.00
micro avg,0.74 ± 0.03,0.31 ± 0.01,0.44 ± 0.00,258.00 ± 0.00
macro avg,0.53 ± 0.00,0.30 ± 0.01,0.37 ± 0.00,258.00 ± 0.00
weighted avg,0.56 ± 0.00,0.31 ± 0.01,0.37 ± 0.00,258.00 ± 0.00
samples avg,0.37 ± 0.01,0.33 ± 0.01,0.34 ± 0.01,258.00 ± 0.00
