response,model,created_at,done_reason,total_duration,load_duration,prompt_eval_count,prompt_eval_duration,eval_count,eval_duration,input_text,gold_label,label_count,mentioned_labels
"ACCIDENTS/SECURITY 
ENVIRONMENTAL_IMPACT
ENERGY_POLICY
WEAPONS  
",gemma2:27b,2024-09-11T15:17:30.972076957Z,stop,669804599,55420911,219,73633000,20,493325000,"The ongoing and deepening nuclear calamity in Fukushima and Japan ’s abiding commitment to nuclear power , including the ability to reprocess spent nuclear fuel and generate plutonium , is therefore an outgrowth of imperial power plays at the end of the Second World War .","['ENERGY_POLICY', 'ACCIDENTS/SECURITY']",4,"['ENERGY_POLICY', 'WEAPONS', 'ENVIRONMENTAL_IMPACT', 'ACCIDENTS/SECURITY']"
"WEAPONS 
",gemma2:27b,2024-09-11T15:17:31.393283966Z,stop,333726412,56767984,213,60299000,6,129845000,"In practice , there is no way to segregate nuclear technologies employed for “ peaceful ” purposes from technologies that may be employed in weapons — the former may be , and have been , transformed into the latter . """,['WEAPONS'],1,['WEAPONS']
"HEALTH_EFFECTS 
",gemma2:27b,2024-09-11T15:17:31.752753304Z,stop,313316119,56854098,199,56561000,7,156979000,Read CND 's summary of the German government-commissioned research that shows increases in cancer in children under five living near nuclear power stations .,['HEALTH_EFFECTS'],1,['HEALTH_EFFECTS']
"COSTS 
",gemma2:27b,2024-09-11T15:17:32.060368233Z,stop,261386821,54871876,199,55694000,5,105486000,"Swiss utility BKW AG already plans to shutter Muehleberg in 2019 , citing the high costs of maintenance and operations .",['COSTS'],1,['COSTS']
"WEAPONS 
",gemma2:27b,2024-09-11T15:17:32.427337976Z,stop,316682267,78966847,213,61690000,6,130508000,"Today , the nuclear stockpile of the United States , which stands at over 7,000 warheads — some of which are still kept in permanent readiness — could alone destroy planetary life several times over .",['WEAPONS'],1,['WEAPONS']
"HEALTH_EFFECTS 
",gemma2:27b,2024-09-11T15:17:32.784953945Z,stop,309276264,57528226,188,47033000,7,158031000,"Moreover , one in five uranium miners in the Southwest has contracted some form of cancer .",['HEALTH_EFFECTS'],1,['HEALTH_EFFECTS']
"Here are the relevant codes for the provided text:

* **FOSSIL_FUELS:** The text explicitly mentions ""the need of fossil fuels"" and positions nuclear energy as a potential alternative.
* **URANIUM/WASTE:**  The sentence discusses the limited supply of uranium (""not NEARLY enough""), directly relating to the issue of waste generation and disposal. 
",gemma2:27b,2024-09-11T15:17:34.981866431Z,stop,2150223955,48288804,220,73568000,77,1984775000,"The amount of Uranium on the earth is n’t NEARLY enough to sustain us for long enough to relieve the need of fossil fuels , we ’re talking no more than 80 years for the remaining Uranium to be mined and used .","['RELIABILITY', 'FOSSIL_FUELS']",2,"['FOSSIL_FUELS', 'WASTE']"
"ENERGY_POLICY 
ACCIDENTS/SECURITY 
",gemma2:27b,2024-09-11T15:17:35.558351745Z,stop,486587702,57807213,191,51302000,12,288891000,"All traded uranium is sold for electricity production only , and two layers of international safeguards arrangements confirm this .",['WEAPONS'],2,"['ENERGY_POLICY', 'ACCIDENTS/SECURITY']"
"ACCIDENTS/SECURITY 
",gemma2:27b,2024-09-11T15:17:35.9379552Z,stop,375383084,54562857,224,74744000,7,156068000,"The Diablo Canyon plant , located 200 miles northwest of Los Angeles near Santa Barbara , was built in 1968 near two fault lines , one three miles off the coast that suffered a 7.1 earthquake in 1926 .",['ACCIDENTS/SECURITY'],1,['ACCIDENTS/SECURITY']
"ACCIDENTS/SECURITY 
",gemma2:27b,2024-09-11T15:17:36.288628895Z,stop,304694362,55650655,186,46371000,7,158406000,"Since then , it has proven itself as one of our safest energy technologies .",['ACCIDENTS/SECURITY'],1,['ACCIDENTS/SECURITY']
"WASTE 
HEALTH_EFFECTS  
",gemma2:27b,2024-09-11T15:17:36.734440762Z,stop,399015351,58003839,199,56753000,10,234465000,"Second , spent Uranium has to be disposed of and dealt with at one point even if it is reprocessed and the radioactivity of it remains .",['WASTE'],2,"['HEALTH_EFFECTS', 'WASTE']"
"ACCIDENTS/SECURITY, WASTE, HEALTH_EFFECTS 
",gemma2:27b,2024-09-11T15:17:37.298595745Z,stop,518558240,62262670,219,73803000,14,337387000,"( This means that either no one will be responsible for physical , environmental , or health damages in the case of an accident or leakage over time from waste storage , or that the government will ultimately have to cover the cost of any damages . )","['HEALTH_EFFECTS', 'ACCIDENTS/SECURITY', 'ENVIRONMENTAL_IMPACT', 'WASTE', 'ENERGY_POLICY']",3,"['HEALTH_EFFECTS', 'WASTE', 'ACCIDENTS/SECURITY']"
"ENVIRONMENTAL_IMPACT, ACCIDENTS/SECURITY 
",gemma2:27b,2024-09-11T15:17:37.763281894Z,stop,419702191,53476450,209,59314000,11,260310000,"In November 2000 the world recognised nuclear power as a dirty , dangerous and unnecessary technology by refusing to give it greenhouse gas credits during the UN Climate Change talks in The Hague .","['ENVIRONMENTAL_IMPACT', 'ACCIDENTS/SECURITY']",2,"['ENVIRONMENTAL_IMPACT', 'ACCIDENTS/SECURITY']"
"COSTS 
",gemma2:27b,2024-09-11T15:17:38.040911119Z,stop,229437234,39426822,180,40503000,5,105265000,Some argue against its economic viability as well .,['COSTS'],1,['COSTS']
