,precision,recall,f1-score,support
CAPITAL_VS_LABOR,0.47 ± 0.07,0.50 ± 0.00,0.48 ± 0.04,8.00 ± 0.00
COMPETITION/BUSINESS_CHALLENGES,0.29 ± 0.05,0.22 ± 0.02,0.25 ± 0.03,21.00 ± 0.00
ECONOMIC_IMPACT,0.51 ± 0.02,0.64 ± 0.08,0.57 ± 0.03,12.00 ± 0.00
GOVERNMENT,0.92 ± 0.12,0.37 ± 0.09,0.52 ± 0.11,10.00 ± 0.00
LOW-SKILLED,0.36 ± 0.00,1.00 ± 0.00,0.53 ± 0.00,14.00 ± 0.00
MOTIVATION/CHANCES,0.58 ± 0.16,0.17 ± 0.02,0.26 ± 0.04,20.00 ± 0.00
PRICES,0.85 ± 0.04,0.75 ± 0.03,0.80 ± 0.03,32.00 ± 0.00
SOCIAL_JUSTICE/INJUSTICE,0.77 ± 0.02,0.54 ± 0.05,0.63 ± 0.04,59.00 ± 0.00
TURNOVER,0.82 ± 0.14,0.87 ± 0.09,0.84 ± 0.12,5.00 ± 0.00
UN/EMPLOYMENT_RATE,0.97 ± 0.04,0.19 ± 0.02,0.32 ± 0.03,49.00 ± 0.00
WELFARE,1.00 ± 0.00,0.56 ± 0.08,0.71 ± 0.06,6.00 ± 0.00
YOUTH_AND_SECONDARY_WAGE_EARNERS,0.24 ± 0.07,0.33 ± 0.09,0.28 ± 0.07,5.00 ± 0.00
micro avg,0.61 ± 0.02,0.46 ± 0.02,0.53 ± 0.02,241.00 ± 0.00
macro avg,0.65 ± 0.02,0.51 ± 0.03,0.52 ± 0.02,241.00 ± 0.00
weighted avg,0.72 ± 0.03,0.46 ± 0.02,0.51 ± 0.02,241.00 ± 0.00
samples avg,0.52 ± 0.01,0.49 ± 0.02,0.49 ± 0.02,241.00 ± 0.00
